Ag,As,Ba,Cd,Cu,Hf,Pb,Rb,S,Sb,Sr,Te,W,Zn,Zr,SiO2,Al2O3,TFe2O3,MgO,CaO,Na2O,K2O,Pth,Qpx,Qbg,Fault,Species
62.3672,36.0108,599.2,118.9322,47.70137478,6.329587573,32.1955,123.8,119.4,3.704,41.6,0.1004115,2.628,115.71,214.9,61.29,16.24,8.6,0.97,0.11,0.17,3.451,0,0,0,0,1
56.0952,13.1885,567.8,142.9098,39.3085416,6.740536375,25.346,122.5,90.6,1.489,37.6,0.0778575,2.074,77.0385,274.2,63.45,15.25,8.04,1.16,0.06,0.17,3.184,0,0,0,0,0
69.734,8.5256,535.1,93.7628,39.56620646,7.549498986,38.19,146.7,66.5,0.868,27.3,0.1020915,1.827,111.09,243.5,60.22,17.98,7.8,0.74,0.14,0.24,3.208,1,1,1,0,0
129.99,4.4324,510.4,252.5554,34.04027255,6.470654628,36.822,129.3,86.9,0.745,25.8,0.110775,3.011,111.405,254.4,59.93,16.74,8.02,1.16,0.09,0.18,2.864,0,0,0,1,1
80.4916,6.8106,508,191.278,57.78103806,6.326986148,353.4,97.8,97.9,2.86,34.4,0.085428,3.727,98.406,237.8,73.75,17.85,8.44,0.5,0.05,0.11,2.869,0,0,0,0,1
50.2684,11.5374,604.2,77.6558,34.26168588,6.563683117,28.785,146.8,55.5,1.336,28.7,0.11151,2.291,99.876,248.2,60,17.48,7.41,0.94,0.07,0.1,3.046,1,0,0,0,0
94.8556,10.1204,422.2,74.8828,43.68164838,6.438968216,38.456,142.7,43,1.896,25.4,0.0857955,1.959,115.185,224.8,61.74,16.67,8.2,0.89,0.14,0.09,3.603,0,0,0,0,0
49.1064,5.0426,545.2,102.8016,48.0863816,6.778553459,33.763,142.9,60,1.109,24.1,0.1021755,2.805,101.9865,232.9,60.4,17.62,7.71,0.8,0.06,0.07,3.144,0,0,0,0,0
71.8984,8.1449,508.4,92.0046,38.47183875,7.885249615,29.887,142.7,47.3,3.103,33.8,0.093534,1.931,116.13,226.2,59.91,15.6,7.35,1.3,0.09,0.09,3.293,0,0,1,0,0
65.9288,10.5371,381.8,89.4086,47.16055904,7.991362587,25.4505,126.2,65,0.944,33.8,0.066234,1.931,103.1835,225,59.61,17.07,8.1,1.07,0.05,0.2,3.387,1,0,1,0,0
